id,tweet,aspek_A1,aspek_A2,sentimen_S1,sentimen_S2
91,menurut saya kualitas menteri kabinet merah putih campur aduk kekuatan menteri berpengalaman seperti sri mulyani mendukung stabilitas dengan pertumbuhan ekonomi di q dan surplus pangan kelemahan ukuran kabinet raksasa picu inefisiensi risiko korupsi dan,Fleksibilitas,Kompetensi Menteri,Negatif,Negatif
92,gibran rakabuming raka wakil presiden saat ini punya pengalaman sebagai wali kota solo yang sukses merevitalisasi kota dan latar belakang bisnis keluarga namun statusnya sebagai sdm unggul subjektif pendukungnya lihat leadership muda dan inovatif kritikus soroti kurangnya,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Positif,Netral
93,seluruh menteri kabinet merah putih prabowo subiantogibran rakabuming raka bertolak ke magelang jawa tengah dengan pesawat c hercules milik tni au salah satu yang ikut dalam rombongan adalah menteri bumn erick thohir yang mengaku baru pertama kali merasakan pengalaman,Fleksibilitas,Kompetensi Menteri,Positif,Netral
94,kabinet merah putih prabowo memiliki menteri membahas satu per satu panjang tapi berdasarkan sumber seperti wikipedia tempo dan setkab ini ringkasan qualified berdasar merit pengalamanpendidikan sri mulyani menkeu doktor ekonomi eks bank dunia tito,Kompetensi Menteri,Kompetensi Menteri,Positif,Netral
95,berikut menteri pertama secara alfabetis di kabinet merah putih berdasarkan wikipedia setkab tempo dengan penilaian meritokrasi subyektif dari pengalamanpendidikan relevan vs jalur politik abdul kadir karding men pelindungan pekerja migran qualified latar,Kompetensi Menteri,Kompetensi Menteri,Positif,Netral
96,bekerja tahun menjadi staf khusus menkeu dan jubir kemenkeu adalah pengalaman yang sangat berharga saya sungguh beruntung dan bersyukur membantu ibu sri mulyani dan bekerja dalam lingkungan yang positif bekerja profesional dan prudent saya bisa belajar dan berproses,Fleksibilitas,Kompetensi Menteri,Positif,Positif
97,kabinet gemoy bukanlah jaminan mampu mempercepat pertumbuhan amp pembangunan negara apalagi bila posnya diisi orang bodoh minim kapabilitas amp sama sekali tak peduli kpd rakyat hanya bikin rakyat sakit hati dgn kebijakan amp ucapannya buat apa sih dipertahankan pak presiden,Fleksibilitas,Kompetensi Menteri,Negatif,Negatif
98,menterinya miskin kompetensi tidak paham duduk perkara akhirnya nyalahin setan prabowo cepat deh ganti menteri anda baru dua bulan kerjanya kalo gak menjilat ya amburadul awalnya pidato berapi akhirnya padam juga oleh ludah sendiri ada ribuan karyawan sritex yang sempat,Kompetensi Menteri,Kompetensi Menteri,Negatif,Negatif
99,pasca ott kemenaker ri profesionalitas perlu diterapkan di kementerian yg strategis sarat potensi utk menguatkan eksistensi negara bapak presiden seyogyanya menugaskan profesional bidang ketenagakerjaan di kemenaker ri,Fleksibilitas,Kompetensi Menteri,Positif,Netral
100,berbicara soal kapasitas sebenarnya si gibran ini memang belum pantas untuk menjadi seorang wapres karena untuk menjadi wapres dibutuhkan kedewasaan dan kecerdasan yang baik serta pengalaman di bidang politik dalam jangka panjang,Fleksibilitas,Kompetensi Menteri,Positif,Netral
101,sejak awal pbentukan kabinet merah putih sdh jelas tlihat bhw mrk tdk punya kompetensi dan bekerja hanya untuk kepentingan pribadi dan kroninya belum lagi penempatan kader partai pd posisi strategis di bumn yg bakal jd mesin uang yang buat partai,Fleksibilitas,Kompetensi Menteri,Negatif,Negatif
102,sebanyak ribu guru di indonesia telah berhasil lulus pendidikan profesi guru ppg program ini disiapkan pemerintah sebagai upaya meningkatkan profesionalisme dan kompetensi guru agar kian siap dalam menghadapi tantangan pendidikan masa kini melalui ppg,Fleksibilitas,Keterwakilan,Negatif,Positif
103,mau tahu srikandi andalan presiden prabowo subianto di kabinet merah putih mereka menjadi pucuk pimpinan tertinggi di kementeriannya masing jangan meremehkan karena di balik kelembutannya tersimpan kemampuan level dewi,Fleksibilitas,Kompetensi Menteri,Negatif,Positif
104,kayak dia milih pejabat teknis berdasar kompetensi dan meritokrasi ajah di generasi berikutnya mgkin akan ada presiden yang akan dicap sebagai bapak inkompetensi krn dirinya dan anak buahnya rata diragukan kompetensinya,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
105,kritik dibutuhkan sbg alat pengawasan dan kontrol ke siapa ya ke pihak yg punya kuasa sebab tidak semua bisa ambil keputusan kan bayangkan jika semua punya kemampuan ambil kebijakan ya bubar negara harus ada yg mengawasi dan kritik itu lebih dari cukup dlm demokrasi,Keterwakilan,Transparansi,Negatif,Netral
106,mohon ganjarist rt viralkan mks ganjar pranowo mahfud md sederhana merakyat suka blusukan nginep rumah warga pengalaman th di dpr sahkan uu termasuk uu desa th bangun jawa tengah dgn apbd t setahun bisa entaskan jt kemiskinan turunkan stunting,Keterwakilan,Keterwakilan,Positif,Netral
107,pak jonan sudah ingatkan efek negatif yang akan terjadi beliau tolak kebijakan kereta cepat karena relatif terlalu mahal proyek nya biaya tiket yang akan didapat dari masyarakat juga kecil karena kemampuan masyarkat beli tiket juga rendah plus modal negara cekak dia dipecat,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
108,saya mohon diri matur nuwun waktu yang dinanti akhirnya tiba tugas saya sebagai staf khusus membantu ibu sri mulyani menjalankan tugas sebagai menteri keuangan periode telah selesai masa tahun yang penuh dinamika suka duka pelajaran dan pengalaman berharga,Fleksibilitas,Keterwakilan,Positif,Netral
109,prabowo mungkin lebih memilih menangani isu strategis secara langsung karena pengalaman militernya yang mendalam sementara gibran sebagai wapres muda masih membangun peran melalui kunjungan daerah dan inisiatif seperti lapor mas wapres hal ini juga bisa menghindari tudingan,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Positif,Netral
110,gue baca di wikipedianya pengalaman kerja yg paling utamanya dia adl sekretaris pribadinya prabowo di gerindra kacau parah pengalaman cm seupil jd sekpri diangkat jd menlu mbok setdknya pernah jd konsulat or bahkan ob di kedubes ri di negara mana gitu,Fleksibilitas,Kompetensi Menteri,Positif,Negatif
111,di era pemerintahan presiden prabowo subianto segala hal yang berurusan untuk kepentingan rakyat dipermudah dan diberikan dukungan penuh dengan semua kemampuan pemerintah tentu hal ini untuk mewujudkan terciptanya rakyat indonesia yang sejahtera tidak mudah dan tidak bisa,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
112,work aku jurusan kebijakan publik bingung bgt banyak loker tpi syarat s pengalaman gt tahun bingung bgt emg disaranin jurusan ini buat s tpi zuzur belum ada uang buat lanjut pdhl suka tau sama jurusan ini tpi gitu loker s jarang cpns masih lama,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Negatif,Positif
113,gibran mencetak sejarah baru gibran rakabuming raka sering kali diremehkan di awal perjalanan karier politiknya terutama karena ia merupakan putra presiden joko widodo banyak yang beranggapan bahwa gibran hanya mengandalkan pengaruh keluarganya dan tidak memiliki kemampuan,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Negatif,Netral
114,gak ada yang maksa cuma kalau dia gak kerja jam keluarga dia gak makan hari itu siapa bilang gak ada yang maksa ada inkompetensi pemerintah gak bisa kasih lapangan kerja gak bisa kasih aturan yang fair gak bisa melindungi pekerja,Kebijakan dan Pelayanan Pemerintah,Keterwakilan,Negatif,Negatif
115,pengalaman tahun yovie widianto dilantik jadi stafsus bidang ekonomi kreatif secara resmi yovie widianto masuk ke dalam kabinet merah putih pada pemerintah prabowogibran periode,Keterwakilan,Kompetensi Menteri,Positif,Netral
116,presiden memiliki pengalaman panjang dalam pemerintahan dan politik sehingga pilihan programprogram unggulan seperti sekolah rakyat makan bergizi gratis koperasi desa chek kesehatan gratis dan rumah untuk rakyat adalah pilihan tepat mengatasi cepat dan,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
117,jakarta itu menjadi roll model indonesia koalisi rido mencerminkan keterwakilan dari seluruh rakyat indonesia dari semua elemen cagubnya menguasai tata kota dan pengalaman berjenjang cawagubnya pengalaman menjadi menteri memimpin jakarta jangan coba coba,Fleksibilitas,Keterwakilan,Positif,Positif
118,untuk diketahui program ini merupakan bagian dari delapan paket akselerasi ekonomi yang dirilis pemerintah pada kuartal iii ini adapun program ini ditargetkan untuk fresh graduate diploma dan sarjana guna memiliki pengalaman kerja hingga menciptakan lapangan pekerjaan,Fleksibilitas,Keterwakilan,Positif,Positif
119,work kalau d akuntansi mau lanjut ke s apa perlu ada pengalaman kerja min tahun atau tergantung kebijakan masingmasing kampus soalnya aku belum kerja tapi tiba tiba pengen kuliah lagi thank you,Fleksibilitas,Fleksibilitas,Netral,Netral
120,pemotongan anggaran di hari prabowogibran spb januari inpres tahun januari smk januari izin bapakibu ingin sedikit berpendapat dengan seujung kuku pengalaman di perencanaan,Transparansi,Fleksibilitas,Netral,Negatif
121,dalam pidato di sidang kabinet paripurna istana negara hari ini presiden prabowo subianto menekankan komitmen evaluasi berkelanjutan terhadap kinerja menteri ia menyatakan bahwa siapa pun yang tidak selaras dengan visi pemerintahan atau mengabaikan integritas akan dievaluasi,Kebijakan dan Pelayanan Pemerintah,Fleksibilitas,Positif,Positif
122,ceo bpi danantara rosan roeslani menegaskan bahwa investasi yang dikelola badan tersebut akan dilakukan dengan prinsip transparansi kehatihatian dan integritas dalam acara indonesia economic outlook ia mengungkapkan bahwa presiden prabowo subianto telah memberikan,Transparansi,Transparansi,Netral,Positif
123,ya korupsi sistemik di pssi jadi penghalang utama kemajuan timnas itu melemahkan investasi infrastruktur dan pembinaan pemain muda solusinya tuntut transparansi penuh audit independen dan kepemimpinan berintegritas agar garuda tak lagi terpuruk,Transparansi,Transparansi,Positif,Negatif
124,anggota komisi iii dpr ri surahman hidayat menilai penghapusan tilang manual oleh kepolisian negara republik indonesia polri sebagai upaya untuk meningkatkan transparansi dan profesionalitas kepolisian dalam penegakan hukum di bidang lalu lintas,Transparansi,Transparansi,Positif,Positif
125,ganjar harus ditumbalkan seperti ahok agar usaha merongrong bangsa ini bisa berjalan mulus ganjar sebagaimana ahok adalah politisi yang tidak bisa ditawar integritasnya terhadap value pluralisme anti korupsi jujur transparansi kerja nyata dan menjunjung tinggi konstitusi,Transparansi,Kebijakan dan Pelayanan Pemerintah,Positif,Negatif
126,pejabat ri belajarlah dari bung hatta soal integritas dan kesederhanaan belum juga genap berusia setahun kabinet merah putih pimpinan prabowogibran sudah diguncang skandal korupsi wakil menteri ketenagakerjaan immanuel ebener atau yang akrab disapa noel menjadi pesakitan kpk,Fleksibilitas,Kompetensi Menteri,Netral,Negatif
127,pendidikan tinggi butuh perbaikan dari akar dari panduan integritas akademis transparansi repositori penelitian sampai mengubah mindset publikasi dari kuantitas ke kualitas kalau nggak akademisi kita akan terus terjebak dalam budaya riset yang buruburu,Fleksibilitas,Transparansi,Positif,Negatif
128,kilang pertamina internasional kpi unit balikpapan terus melangkah tegak sinergi dengan kejaksaan tinggi kaltim menjadi langkah strategis memperkuat tata kelola amp integritas sekaligus transparansi amp akuntabilitas jadi fondasi menjelang beroperasinya kilang baru balikpapan,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
129,berantakan gak ada arah gak ada planning gak ada kompetensi gak ada kejujuran gak ada transparansi gak ada tanggung jawab gak ada rasa malu atas kesalahan mau dikasih nol agak kasihan jadi minus aja deh nilainya bukan yaaa,Transparansi,Kebijakan dan Pelayanan Pemerintah,Netral,Negatif
130,wacana penambahan dana partai politik kembali mencuat sebagai solusi atas mahalnya ongkos demokrasi integritas politik diharapkan bisa tumbuh lewat pendanaan yang jelas dan sah namun tanpa pengawasan dan transparansi dana besar justru bisa membuka ruang penyimpangan mampukah,Fleksibilitas,Keterwakilan,Positif,Negatif
131,securivotes adalah teknologi yg menjawab tantangan lembaga survey saat ini yaitu transparansi dan integritas data serta hasil survey yg tidak diragukan karena menggunakan teknologi blockchain yg tidak bisa dimanipulasi hasilnya serta prosesnya dapat diawasi oleh publik,Transparansi,Transparansi,Netral,Positif
132,di tengah isu miring soal korupsi justru sinergi kpi kejati kaltim jadi angin segar kolaborasi ini nunjukin kalau transparansi dan integritas bukan sekadar jargon tapi udah jadi budaya kerja di kilang pertamina internasional kpi unit balikpapan,Transparansi,Transparansi,Netral,Positif
133,kurangnya transparansi terkait beneficial ownership bo atau pemilik manfaat di ekosistem bisnis indonesia menjadi ancaman bagi terciptanya proses bisnis yang bersih amp berintegritas,Transparansi,Transparansi,Positif,Negatif
134,permasalahan utama dalam bumn terkait dengan manajemen dan tata kelola perusahaan sangat mungkin kurangnya transparansi adanya nepotisme dan konflik kepentingan ini seringkali menjadi masalah yang mempengaruhi efisiensi dan integritas manajemen bumn,Transparansi,Kebijakan dan Pelayanan Pemerintah,Netral,Negatif
135,komisi pemberantasan korupsi kpk mengadakan program edukasi antikorupsi khusus untuk para pelaku dan pengelola sepakbola indonesia inisiatif ini bertujuan meningkatkan integritas dan transparansi di dunia sepakbola serta mencegah praktik korupsi yang dapat merusak olahraga,Transparansi,Keterwakilan,Positif,Positif
136,aroma cashback juta dollar as di skandal pembelian pesawat tempur dari qatar kasus ini telah menimbulkan kekhawatiran serius terkait integritas dan transparansi dalam proses pengadaan alutsista indonesia masyarakat menuntut adanya penyelidikan mendalam untuk mengungkap,Transparansi,Transparansi,Positif,Negatif
137,dalam kesempatan tersebut titiek soeharto menegaskan pentingnya integritas dan transparansi dalam proses penyaluran ia meminta seluruh pihak yang terlibat untuk memastikan bantuan diterima langsung oleh masyarakat tanpa adanya potongan penyimpangan atau bentuk pengalihan,Fleksibilitas,Transparansi,Positif,Netral
138,transparansi amp integritas menjadi kunci dalam setiap langkah pelayanan publik melalui pedoman ini pps belawan berkomitmen untuk mencegah mengidentifikasi amp menangani setiap potensi benturan kepentingan demi terciptanya tata kelola pemerintahan yang bersih,Transparansi,Transparansi,Netral,Netral
139,sobatani kementan terus menunjukkan komitmennya untuk meningkatkan integritas salah satunya melalui kerjasama dengan kpk di bawah kepemimpinan mentan kementan terus melanjutkan kolaborasi dengan kpk untuk menjaga transparansi amp menghindari praktik kkn,Transparansi,Fleksibilitas,Netral,Positif
140,alhamdulillah bukti ketika integritas ilmu amp sains dipakai memberikan peninggalan yg bermanfaat zaman pak ignasius jonan kai punya perubahan yg besar ke arah yg positif semoga jd jalan buat petani nyari rezeki yg tadinya terhambat krn tengkulak amp akses yg tidak memadai,Fleksibilitas,Fleksibilitas,Positif,Positif
141,sobatani penandatanganan pakta integritas kementerian pertanian selasa merupakan salah satu langkah nyata untuk mewujudkan pemerintahan yang bersih dan transparan menteri pertanian menegaskan pentingnya integritas sebagai landasan utama,Transparansi,Fleksibilitas,Positif,Positif
142,kualitas layanan lahir dari desain tata kelola kompetensi teknis dan transparansi bukan dari nomenklatur semata,Transparansi,Kebijakan dan Pelayanan Pemerintah,Netral,Positif
143,welcome back home bu sri mulyani bersama kepala lpem tahun sore itu menjadi ruang refleksi tentang arti bekerja dan berkarya dengan integritas beliau bercerita bahwa setiap kebijakan besar adalah hasil dari kerjakerja bersama sehingga tak dapat diklaim sebagai,Fleksibilitas,Kompetensi Menteri,Netral,Positif
144,integritas presiden akan terus terbebani oleh perkara yck karena persoalan korupsi kuota haji itu masih jadi perbincangan di ministry of hajj and umrah ksa lembaga otoritas urusan haji pemerintah arab saudi partai dan koalisinya perlu bersikap lebih tegas,Fleksibilitas,Kompetensi Menteri,Positif,Netral
145,kilang pertamina internasional terus memperkuat kolaborasi dengan kpk sebagai langkah nyata membangun budaya integritas dan transparansi di lingkungan kerja,Fleksibilitas,Transparansi,Positif,Positif
146,moment yang menguji integritas ganjar pranowo dihadapkan pada ultimatum bukan pilihan anak kandung rakyat berambut putih itu merenung tak memberi jawaban tapi dalam hatinya ada keyakinan pengkhianatan itu sedang dimulai sampai sekarang saya bangga dengan integritas,Keterwakilan,Keterwakilan,Netral,Netral
147,menteri sekretaris negara mensesneg prasetyo hadi menegaskan bahwa presiden prabowo subianto akan semakin memperketat pengawasan serta memberikan peringatan keras kepada para menteri terkait integritas,Fleksibilitas,Kompetensi Menteri,Netral,Positif
148,menteri keuangan purbaya yudhi sadewa menegaskan bahwa usulan pembayaran gaji aparatur sipil negara asn daerah oleh pemerintah pusat belum dapat direalisasikan karena harus mempertimbangkan kemampuan anggaran pendapatan dan belanja negara apbn serta menjaga keseimbangan,Fleksibilitas,Kompetensi Menteri,Netral,Positif
149,lantang soal integritas dan keadilan tapi dibalik layar lembaga kampus sibuk ikut kontes nepotisme pura seleksi objektif padahal yg dinilai bukan prestasi tapi koneksi giliran kritik pemerintah paling kencang padahal busuknya disembunyiin dibalik korsa amp jabatan,Transparansi,Keterwakilan,Netral,Negatif
150,pramono menegaskan pentingnya integritas transparansi dan profesionalisme dalam tugas asn,Kompetensi Menteri,Kompetensi Menteri,Positif,Positif
151,harus di akui purbaya pada kebijakan ini membantu mendorong kemampuan belanja masyarakat yang merupakan motor penggerak ekonomi dengan menjaga momentum pertumbuhan ekonomi digital yang pesat penundaan pajak ini mendukung ekspansi lapangan kerja dan memberikan sinyal positif,Kompetensi Menteri,Kompetensi Menteri,Positif,Positif
152,wajar kami pesimis dengan kemampuan kinerja kabinet merah putih neoliberal oligarki subianto buktinya baru saja sehari dilantik sudah beberapa menteri membuat kontroversi blunder fatal,Kompetensi Menteri,Kompetensi Menteri,Negatif,Negatif
153,pak menteri bapak yg baru punya mental dan keberanian yg bagus kemungkinan kompetensinya jg bagus makanya bapak angkat jd kemenkeu baru mw memperbai ekonomi dan keuangan sudah ada yg kontra gini waspadalah waspadalah p,Kompetensi Menteri,Kompetensi Menteri,Positif,Positif
154,ada banyak aspek dari ajaran agama yang secara substantif dapat diatribusikan untuk melihat dan menakar keterwakilan nilainilai agama seperti akuntabilitas integritas dan tata kelola dalam sebuah perhelatan politik bangsa baca di sini,Transparansi,Transparansi,Positif,Positif
155,komisi pemberantasan korupsi kpk merilis hasil survei penilaian integritas spi yang menyoroti sejumlah titik rawan korupsi di sektor pengelolaan anggaran negara dari responden internal di kementerian lembaga dan pemerintah daerah sebanyak persen responden,Transparansi,Transparansi,Positif,Positif
156,system yg buruk menyebabkan jokowi leluasa berbuat pertanyaan tentang keberanian presiden joko widodo dalam mengambil langkahlangkah kontroversial mulai dari isu perpanjangan masa jabatan hingga kebijakan yang dinilai melanggar integritas sistem ketatanegaraan memunculkan,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
157,sahabat lps yuk ikut sukseskan survei penilaian integritas spi spi merupakan survei nasional tahunan berbasis elektronik yang ditujukan kepada seluruh kementerianlembagapemerintah daerah di indonesia yang diselenggarakan oleh komisi pemberantasan korupsi kpk tujuan,Keterwakilan,Keterwakilan,Positif,Positif
158,apakah pemerintah mengambil keputusan yang tepat dalam mengalokasikan dana untuk membeli jet tempur generasi ke yang kemampuannya masih diragukan dan belum terverifikasi serta belum memiliki mesin sebagai pengingat banyak uang negara yang dipertaruhkan di sini loh,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
159,lapor pak jaksa agung ri tidak seperti tahun tahun sebelumnya hari ini minggu agustus terpidana silfester termul matutina tidak terpantau hadir di istana negara absennya bukan karena eksekusi melainkan karena radar integritas,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
160,fenomena no viral no justice bukti pemerintah lambat respon kini situasinya sudah berubah rakyat menginginkan respon cepat dari pemerintah atas segala permasalahan bangsa ketika perintah presiden ada ditelunjuk teddy indra wijaya maka hari itu seskab memberi perintah kepada,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
161,pada kesempatan tersebut juga diinformasikan mengenai penetapan tmt pegawai paruh waktu per oktober dengan berbagai pembaruan ini bkd jawa tengah terus berkomitmen menghadirkan layanan kepegawaian yang lebih cepat adaptif dan responsif terhadap kebutuhan asn,Keterwakilan,Keterwakilan,Positif,Positif
162,ketua dpr puan maharani menyoroti sedikitnya isu dalam sidang bersama dprdpd tahun mulai dari peran partai politik dan pemilu demokrasi respon cepat pemerintah terhadap masalah strategis dan keterwakilan perempuan di parlemen puan maharani menegaskan partai politik,Kompetensi Menteri,Kompetensi Menteri,Positif,Positif
163,liat warga marahmarah ke pemerintah ai bisa bisa bilang marahnya salah sasaran atau minta solusi yg lebih buruk daripada yg udah jalan belum kemarahannya ditunggangi sama kepentingan tertentu kyk demo kemarin learn and observe banyak hal yg kalian masih salah tanggap,Keterwakilan,Keterwakilan,Netral,Netral
164,begini lho mas kita mengkritik terutama sy waktu mengkritik cara nanik deyang merespon anak keracunan tujuannya kan untuk koreksi meluruskan kebijakan sikap ataupun respon yg keliru nah jika sekarang dia sadar keliru minta maaf bahkan sambil menangis ya berarti,Keterwakilan,Keterwakilan,Positif,Positif
165,sore ini saya mengunjungi warga terdampak banjir di kampung tambun inpres desa buni bakti kecamatan babelan kabupaten bekasi saya turut prihatin atas musibah banjir yang melanda berbagai daerah di jabodetabek pemerintah akan terus hadir merespons cepat dan mengambil,Fleksibilitas,Fleksibilitas,Positif,Positif
166,menanggapi lonjakan kasus influenza a ketua dpr ri puan maharani meminta pemerintah untuk segera memperkuat sistem kesehatan nasional secara menyeluruh menurutnya penguatan sistem kewaspadaan dini di seluruh fasilitas kesehatan menjadi keharusan agar penanganan dilakukan,Kompetensi Menteri,Kompetensi Menteri,Netral,Netral
167,ya frustasi wajar karena track record pemerintah sering lambat adaptasi tapi kasus jakarta bukti kalau protes nelayan dan tekanan publik bisa paksa perubahan seperti tambah akses dan kompensasi di semarang dukung lsm atau kampanye transparansi buat giant sea wall supaya,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
168,dedi mulyadi jawab kritik istri ridwan kamil soal sman boleh tampung maksimal siswa per kelas gubernur jawa barat dedi mulyadi menanggapi kritik dari anggota komisi viii dpr ri atalia praratya yang merupakan istri ridwan kamil kritik ini terkait kebijakan dedi yang,Kompetensi Menteri,Kompetensi Menteri,Positif,Positif
169,menurut ramson pemerintah harus bersikap fleksibel agar pasokan bbm tetap terjaga ia menilai kebijakan pembatasan izin impor justru berpotensi memperburuk keadaan jika tidak ada solusi cepat untuk memenuhi kebutuhan spbu nonpertamina,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
170,menteri energi dan sumber daya mineral esdm bahlil lahadalia meminta seluruh stasiun pengisian bahan bakar umum spbu swasta tunduk pada aturan pemerintah terkait pengaturan kuota bahan bakar minyak bbm hal ini menanggapi keluhan sejumlah penyalur bbm swasta yang sebelumnya,Kompetensi Menteri,Kompetensi Menteri,Negatif,Negatif
171,terhadap putusan ma terkait dengan uji materi pasal penghitungan pecahan desimal keterwakilan perempuan kpu meresponsnya dengan lambat malasmalasan sedangkan terhadap putusan mk perihal uji materi syarat usia calon presiden dan,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Netral,Netral
172,aktris leony vitria diajak duduk bersama mencari persoalan di kota tangerang selatan tangsel hal itu disampaikan tokoh muda tangsel dadit h gani merespons kritik yang disampaikan leony mengenai sejumlah kebijakan hingga anggaran pemerintah kota pemkot tangsel yang dinilai,Keterwakilan,Keterwakilan,Positif,Positif
173,kebijakan kontroversial yang diterapkan smk pembaharuan purworejo jawa tengah menuai kritik tajam dari orang tua siswa dan pengawas pendidikan sekolah di bawah naungan yayasan pembaharuan itu mewajibkan seluruh siswa melunasi biaya pendidikan paling lambat sabtu,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
174,ini yg menarik kalo jual beli di toko emas lokal di sekitaran rumah kita bisa nego dan bisa ngelihat secara fisik tapi kekurangannya harus beli dalam jumlah yg rada gede yakni gr selain itu harga jual biasanya tergantung sama kebijakan toko lebih fleksibel memang,Keterwakilan,Keterwakilan,Positif,Positif
175,menteri keuangan purbaya yudhi sadewa menanggapi santai kritik ketua komisi xi dpr mukhamad misbakhun yang memintanya berhenti menyinggung urusan kementerian lain ia menegaskan tidak pernah ikut campur dalam kebijakan kementerian lain saya enggak komentari kementerian yang,Kompetensi Menteri,Kompetensi Menteri,Positif,Positif
176,reaksi tegas polisi dpr hingga menteri soal tni laporkan ferry irwandi tak ada legal standing rencana jenderal tni melaporkan influencer ferry irwandi atas dugaan pencemaran nama baik menuai beragam tanggapan dari polisi dpr dan pemerintah para pejabat menegaskan hanya,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
177,jika pemerintah dikritik karena halhal yang kacau itu hal yang normal mereka pemangku kekuasaan bisa merespons kritik itu memang selayaknya begitu aneh jika pemerintah bukan keluarga pemerintah bukan giliran ada orang kritik pemerintah mereka yang kebakaran,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
178,layanan ini menjadi bagian dari komitmen pemerintah untuk mewujudkan transparansi dan akuntabilitas publik serta mendorong pelayanan yang lebih cepat dan responsif,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
179,ketua harian gerindra menanggapi wacana ketum pkb soal penghapusan pilkada langsung dan usulan agar gurbernur di pilih oleh pemerintah pusat menurut bang dasco seluruh partai politik saat ini tengah mengkaji simulasi dan skema pemilu terbaik utk masa depan,Kompetensi Menteri,Kompetensi Menteri,Netral,Netral
180,gubernur aceh muzakir manaf atau yang akrab disapa mualem memberikan tanggapan santai namun penuh makna terhadap kebijakan gubernur sumatera utara gubsu bobby nasution yang merazia kendaraan berpelat bl kode kendaraan asal aceh di wilayah perbatasan acehsumut mualem,Keterwakilan,Keterwakilan,Positif,Positif
181,satu tahun pemerintahan presiden dan wakil presiden prabowogibran ini sikap komnas perempuan dalam satu tahun perjalanan komnas perempuan menegaskan pentingnya upaya lebih lanjut dalam menciptakan kebijakan yang responsif terhadap perempuan dan perlindungan terhadap hakhak,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
182,israel akan mengabaikan atau melanggar sebagian besar poinpoin yang diutarakan di atas kita pun harus selalu ingat bahwa amerika serikat akan berpihak condong pada interest israel hal yang harus menjadi perhatian selanjutnya adalah tanggapan dari pemerintah palestina,Transparansi,Transparansi,Positif,Positif
183,alhamdulillah tepat di hari ke ramadhan h ini saya mengumumkan pemberian thr tunjangan hari raya terhadap pekerja swasta bumn dan bumd agar diberikan secara tepat waktu paling lambat h sebelum hari raya idul fitri h selain itu pemerintah juga memberikan,Fleksibilitas,Fleksibilitas,Positif,Positif
184,respons pdip soal fenomena bendera one piece keresahan publik terhadap kebijakan pemerintah fenomena pengibaran bendera bajak laut one piece menjelang hut kemerdekaan ri mendapat tanggapan keras dari fraksi pdip partai berlambang banteng tersebut meminta pemerintah tidak,Keterwakilan,Keterwakilan,Positif,Positif
185,rocky gerung ketika walkout dalam sebuah acara dialog televisi menyatakan bahwa gagasan yang disusun pemerintah harus menjadi tanggapan atas sejarah dunia alasannya karena indonesia bagian dari sejarah dunia apa yang disebut soekarno sebagai memberiken pancasila kepada,Kompetensi Menteri,Kompetensi Menteri,Positif,Positif
186,bnn kabupaten serdang bedagai melaksanakan kegiatan konsolidasi kebijakan kota tanggap ancaman narkoba pada sektor kelembagaan pada hari senin tanggal oktober pukul wib sd selesai tempat kantor bupati serdang bedagai,Keterwakilan,Keterwakilan,Positif,Positif
187,oh ya pak dokter tokyo jg alami sinking dgn rate yang jauhjauh lbh parah dibandingkan jakarta dgn akselerasi tjd pasca perang dunia ke yg diikuti oleh pertumbuhan ekonomi tinggi tp berkat perubahan kebijakan alami perlambatan signifikan,Fleksibilitas,Fleksibilitas,Netral,Netral
